genome_id,antibiotic,resistance,source
562.77182,Amoxicillin,Resistant,BV-BRC
573.65974,Levofloxacin,Susceptible,BV-BRC
1280.42145,Clindamycin,Susceptible,BV-BRC
1280.11298,Levofloxacin,Susceptible,BV-BRC
3275998575,Erythromycin,Susceptible,NCBI
287.12519,Meropenem,Resistant,BV-BRC
3258306354,Penicillin,Resistant,NCBI
28901.21616,Tetracycline,Resistant,BV-BRC
1313.30788,Erythromycin,Susceptible,BV-BRC
485.15353,Cefixime,Susceptible,BV-BRC
1773.20099,Ofloxacin,Susceptible,BV-BRC
573.42019,Gentamicin,Susceptible,BV-BRC
1773.37020,Ofloxacin,Susceptible,BV-BRC
3211724786,Cefixime,Susceptible,NCBI
2869704959,Gentamicin,Susceptible,NCBI
1313.24019,Erythromycin,Susceptible,BV-BRC
3170374942,Clindamycin,Susceptible,NCBI
573.22023,Meropenem,Susceptible,BV-BRC
3007913001,Gentamicin,Resistant,NCBI
1352.12008,Vancomycin,Resistant,BV-BRC
3199495572,Meropenem,Resistant,NCBI
1280.38406,Erythromycin,Susceptible,BV-BRC
1313.26091,Erythromycin,Resistant,BV-BRC
2711554072,Levofloxacin,Resistant,NCBI
28901.8351,Ampicillin,Susceptible,BV-BRC
1280.50144,Ciprofloxacin,Susceptible,BV-BRC
2532437698,Cefixime,Resistant,NCBI
1280.30235,Tetracycline,Susceptible,BV-BRC
573.50160,Meropenem,Resistant,BV-BRC
197.16255,Tetracycline,Resistant,BV-BRC
3170409597,Amoxicillin,Resistant,NCBI
2865869146,Amoxicillin,Susceptible,NCBI
485.8092,Cefixime,Resistant,BV-BRC
3140237923,Clindamycin,Susceptible,NCBI
485.18606,Cefixime,Susceptible,BV-BRC
3070237545,Meropenem,Susceptible,NCBI
1280.38034,Clindamycin,Susceptible,BV-BRC
2711099347,Meropenem,Resistant,NCBI
573.77689,Meropenem,Susceptible,BV-BRC
1858782025,Tetracycline,Susceptible,NCBI
1275660439,Ampicillin,Susceptible,NCBI
46170.350,Penicillin,Resistant,BV-BRC
1313.24918,Tetracycline,Susceptible,BV-BRC
1773.32238,Ofloxacin,Resistant,BV-BRC
2076460094,Tetracycline,Resistant,NCBI
573.29991,Gentamicin,Resistant,BV-BRC
90371.7148,Ampicillin,Susceptible,BV-BRC
1797909289,Erythromycin,Susceptible,NCBI
2838464700,Vancomycin,Resistant,NCBI
2030365332,Amoxicillin,Resistant,NCBI
1280.34837,Erythromycin,Susceptible,BV-BRC
2007915922,Ciprofloxacin,Resistant,NCBI
573.54243,Tetracycline,Resistant,BV-BRC
573.17898,Gentamicin,Susceptible,BV-BRC
3166580719,Tetracycline,Susceptible,NCBI
1313.31004,Erythromycin,Resistant,BV-BRC
623.1759,Azithromycin,Resistant,BV-BRC
1733.2136,Ofloxacin,Susceptible,BV-BRC
2844339108,Ciprofloxacin,Susceptible,NCBI
573.57130,Ciprofloxacin,Resistant,BV-BRC
1890342635,Ciprofloxacin,Susceptible,NCBI
1313.24624,Penicillin,Susceptible,BV-BRC
573.44011,Gentamicin,Susceptible,BV-BRC
573.66857,Ciprofloxacin,Susceptible,BV-BRC
1280.17975,Clindamycin,Susceptible,BV-BRC
573.40356,Gentamicin,Susceptible,BV-BRC
573.42219,Ciprofloxacin,Resistant,BV-BRC
562.45668,Levofloxacin,Resistant,BV-BRC
1280.40168,Clindamycin,Resistant,BV-BRC
1773.42223,Levofloxacin,Resistant,BV-BRC
1633966014,Clindamycin,Resistant,NCBI
1313.26789,Penicillin,Susceptible,BV-BRC
1280.36383,Gentamicin,Susceptible,BV-BRC
573.67245,Levofloxacin,Susceptible,BV-BRC
28901.13409,Azithromycin,Susceptible,BV-BRC
28901.22337,Azithromycin,Susceptible,BV-BRC
573.44180,Meropenem,Susceptible,BV-BRC
1313.24735,Erythromycin,Susceptible,BV-BRC
3258254296,Azithromycin,Susceptible,NCBI
1717.907,Amoxicillin,Susceptible,BV-BRC
3134315128,Gentamicin,Resistant,NCBI
1313.7017,Amoxicillin,Susceptible,BV-BRC
1352.10474,Vancomycin,Susceptible,BV-BRC
28901.22500,Ciprofloxacin,Susceptible,BV-BRC
485.18950,Azithromycin,Susceptible,BV-BRC
3026170857,Ciprofloxacin,Resistant,NCBI
2154086849,Clindamycin,Susceptible,NCBI
1390554884,Ciprofloxacin,Resistant,NCBI
3003329856,Gentamicin,Resistant,NCBI
1313.32761,Tetracycline,Resistant,BV-BRC
1307924394,Erythromycin,Resistant,NCBI
1773.42695,Ofloxacin,Resistant,BV-BRC
1280.13830,Gentamicin,Resistant,BV-BRC
1352.10383,Vancomycin,Resistant,BV-BRC
1968858307,Ofloxacin,Resistant,NCBI
485.16808,Azithromycin,Susceptible,BV-BRC
3029650479,Amoxicillin,Resistant,NCBI
2314063512,Erythromycin,Susceptible,NCBI
1280.17069,Penicillin,Resistant,BV-BRC
1717.1029,Amoxicillin,Susceptible,BV-BRC
3134045206,Gentamicin,Resistant,NCBI
72407.2191,Levofloxacin,Susceptible,BV-BRC
1535653149,Penicillin,Resistant,NCBI
624.3208,Ampicillin,Susceptible,BV-BRC
485.18651,Ciprofloxacin,Resistant,BV-BRC
3220431332,Levofloxacin,Susceptible,NCBI
1773.41100,Ofloxacin,Resistant,BV-BRC
3259759488,Ciprofloxacin,Susceptible,NCBI
1313.46136,Penicillin,Susceptible,BV-BRC
3199588132,Gentamicin,Susceptible,NCBI
1773.40937,Levofloxacin,Resistant,BV-BRC
28901.23810,Ampicillin,Susceptible,BV-BRC
573.52240,Meropenem,Susceptible,BV-BRC
1280.30851,Erythromycin,Resistant,BV-BRC
2549310461,Gentamicin,Resistant,NCBI
3107097604,Gentamicin,Resistant,NCBI
573.43917,Meropenem,Resistant,BV-BRC
2702676699,Meropenem,Resistant,NCBI
485.15340,Cefixime,Susceptible,BV-BRC
573.13352,Ampicillin,Resistant,BV-BRC
3146551197,Levofloxacin,Susceptible,NCBI
624.3243,Ampicillin,Susceptible,BV-BRC
3108871707,Erythromycin,Susceptible,NCBI
1313.14878,Erythromycin,Susceptible,BV-BRC
1366772693,Penicillin,Resistant,NCBI
3136780560,Ampicillin,Resistant,NCBI
1313.6051,Tetracycline,Resistant,BV-BRC
2866122801,Erythromycin,Susceptible,NCBI
573.14934,Ciprofloxacin,Susceptible,BV-BRC
2189846538,Vancomycin,Resistant,NCBI
2572260479,Azithromycin,Susceptible,NCBI
1773.18657,Ofloxacin,Resistant,BV-BRC
573.42383,Levofloxacin,Susceptible,BV-BRC
3274337038,Ofloxacin,Resistant,NCBI
470.7642,Ampicillin,Resistant,BV-BRC
573.17784,Gentamicin,Susceptible,BV-BRC
2194575450,Tetracycline,Susceptible,NCBI
485.9866,Cefixime,Resistant,BV-BRC
573.14174,Gentamicin,Resistant,BV-BRC
2954552660,Ciprofloxacin,Resistant,NCBI
1280.51496,Gentamicin,Resistant,BV-BRC
1295801.3,Ofloxacin,Resistant,BV-BRC
3153053411,Cefixime,Susceptible,NCBI
624.3652,Gentamicin,Susceptible,BV-BRC
573.32125,Levofloxacin,Susceptible,BV-BRC
2711522206,Ciprofloxacin,Resistant,NCBI
2843495278,Azithromycin,Susceptible,NCBI
192955.442,Azithromycin,Susceptible,BV-BRC
1280.37406,Penicillin,Susceptible,BV-BRC
3211724786,Ciprofloxacin,Susceptible,NCBI
1773.5113,Amoxicillin,Susceptible,BV-BRC
573.17843,Meropenem,Resistant,BV-BRC
3053995506,Levofloxacin,Resistant,NCBI
1280.30067,Erythromycin,Resistant,BV-BRC
2950590059,Levofloxacin,Resistant,NCBI
562.98667,Ampicillin,Resistant,BV-BRC
1280.48198,Ciprofloxacin,Resistant,BV-BRC
287.34640,Levofloxacin,Resistant,BV-BRC
1773.27765,Ofloxacin,Susceptible,BV-BRC
562.23830,Amoxicillin,Resistant,BV-BRC
573.33972,Ciprofloxacin,Resistant,BV-BRC
624.2583,Azithromycin,Resistant,BV-BRC
1313.33489,Erythromycin,Susceptible,BV-BRC
1280.25870,Gentamicin,Resistant,BV-BRC
1313.45495,Meropenem,Susceptible,BV-BRC
485.1102,Cefixime,Resistant,BV-BRC
2557603899,Penicillin,Susceptible,NCBI
623.1784,Azithromycin,Resistant,BV-BRC
1280.51932,Clindamycin,Susceptible,BV-BRC
1043355233,Tetracycline,Susceptible,NCBI
2838448482,Vancomycin,Resistant,NCBI
1280.36247,Penicillin,Susceptible,BV-BRC
485.311,Azithromycin,Resistant,BV-BRC
573.24173,Gentamicin,Susceptible,BV-BRC
2975844981,Amoxicillin,Resistant,NCBI
28901.23394,Ampicillin,Susceptible,BV-BRC
485.15182,Cefixime,Susceptible,BV-BRC
1773.3103,Amoxicillin,Susceptible,BV-BRC
1280.40074,Clindamycin,Resistant,BV-BRC
573.46095,Ampicillin,Resistant,BV-BRC
2036527653,Amoxicillin,Resistant,NCBI
3069122634,Levofloxacin,Susceptible,NCBI
1512735129,Erythromycin,Susceptible,NCBI
1280.30314,Tetracycline,Susceptible,BV-BRC
1695368448,Vancomycin,Resistant,NCBI
1280.8088,Vancomycin,Susceptible,BV-BRC
1352.10160,Vancomycin,Susceptible,BV-BRC
1773.29551,Ofloxacin,Resistant,BV-BRC
2870443835,Azithromycin,Susceptible,NCBI
72407.1659,Tetracycline,Susceptible,BV-BRC
573.52874,Gentamicin,Susceptible,BV-BRC
1243351421,Azithromycin,Resistant,NCBI
562.98162,Ampicillin,Resistant,BV-BRC
1280.43374,Erythromycin,Susceptible,BV-BRC
1280.36973,Tetracycline,Susceptible,BV-BRC
1615073491,Levofloxacin,Resistant,NCBI
562.100338,Ciprofloxacin,Susceptible,BV-BRC
2126478179,Ciprofloxacin,Resistant,NCBI
2868242236,Gentamicin,Susceptible,NCBI
574.84,Ciprofloxacin,Resistant,BV-BRC
1352.9441,Vancomycin,Resistant,BV-BRC
573.20566,Meropenem,Resistant,BV-BRC
1280.24342,Penicillin,Resistant,BV-BRC
1313.22567,Tetracycline,Susceptible,BV-BRC
1313.24362,Tetracycline,Susceptible,BV-BRC
3139148411,Ampicillin,Resistant,NCBI
3111512921,Gentamicin,Resistant,NCBI
3269442114,Levofloxacin,Resistant,NCBI
1313.29132,Tetracycline,Resistant,BV-BRC
573.42812,Tetracycline,Resistant,BV-BRC
573.13661,Meropenem,Resistant,BV-BRC
573.66378,Ampicillin,Resistant,BV-BRC
573.64683,Meropenem,Susceptible,BV-BRC
1950573500,Vancomycin,Susceptible,NCBI
3170510876,Clindamycin,Susceptible,NCBI
1313.45582,Clindamycin,Susceptible,BV-BRC
1313.45784,Azithromycin,Resistant,BV-BRC
2962034510,Amoxicillin,Resistant,NCBI
573.13167,Ampicillin,Resistant,BV-BRC
485.14239,Penicillin,Resistant,BV-BRC
1773.1398,Ofloxacin,Resistant,BV-BRC
3170501052,Ampicillin,Resistant,NCBI
3030634036,Amoxicillin,Resistant,NCBI
287.26422,Levofloxacin,Resistant,BV-BRC
2718194945,Azithromycin,Susceptible,NCBI
1768366214,Penicillin,Resistant,NCBI
2221842907,Levofloxacin,Resistant,NCBI
1313.24948,Erythromycin,Susceptible,BV-BRC
1280.42616,Gentamicin,Resistant,BV-BRC
3199581154,Levofloxacin,Susceptible,NCBI
485.5380,Cefixime,Susceptible,BV-BRC
1280.25792,Tetracycline,Resistant,BV-BRC
1280.45594,Penicillin,Resistant,BV-BRC
562.57365,Ampicillin,Resistant,BV-BRC
1280.17009,Penicillin,Resistant,BV-BRC
573.74287,Meropenem,Resistant,BV-BRC
3203170705,Ampicillin,Resistant,NCBI
1280.37603,Clindamycin,Resistant,BV-BRC
3269437355,Levofloxacin,Resistant,NCBI
573.65531,Levofloxacin,Susceptible,BV-BRC
1987531648,Tetracycline,Resistant,NCBI
3276213692,Ciprofloxacin,Resistant,NCBI
573.43008,Levofloxacin,Susceptible,BV-BRC
562.100015,Ciprofloxacin,Susceptible,BV-BRC
1313.45099,Vancomycin,Susceptible,BV-BRC
573.65960,Tetracycline,Resistant,BV-BRC
1773.8164,Ofloxacin,Resistant,BV-BRC
573.12717,Gentamicin,Resistant,BV-BRC
1280.29738,Clindamycin,Resistant,BV-BRC
485.14939,Azithromycin,Susceptible,BV-BRC
3070929868,Gentamicin,Resistant,NCBI
46170.343,Penicillin,Resistant,BV-BRC
3172712387,Gentamicin,Susceptible,NCBI
1313.20359,Tetracycline,Resistant,BV-BRC
1280.16423,Clindamycin,Resistant,BV-BRC
1964847136,Levofloxacin,Resistant,NCBI
1313.45708,Erythromycin,Susceptible,BV-BRC
983388683,Ciprofloxacin,Susceptible,NCBI
562.22878,Ampicillin,Susceptible,BV-BRC
3021236488,Amoxicillin,Resistant,NCBI
1352.11602,Vancomycin,Susceptible,BV-BRC
573.21363,Levofloxacin,Resistant,BV-BRC
1313.46517,Levofloxacin,Susceptible,BV-BRC
3198329941,Azithromycin,Susceptible,NCBI
1352.11781,Vancomycin,Resistant,BV-BRC
1313.17438,Erythromycin,Resistant,BV-BRC
573.50952,Tetracycline,Resistant,BV-BRC
28901.23162,Ampicillin,Susceptible,BV-BRC
28901.20998,Ciprofloxacin,Susceptible,BV-BRC
1280.15367,Tetracycline,Susceptible,BV-BRC
2239915218,Cefixime,Susceptible,NCBI
470.8062,Ampicillin,Resistant,BV-BRC
1280.55239,Tetracycline,Susceptible,BV-BRC
573.41093,Ciprofloxacin,Susceptible,BV-BRC
573.15451,Tetracycline,Resistant,BV-BRC
28901.23235,Ampicillin,Susceptible,BV-BRC
485.14953,Penicillin,Susceptible,BV-BRC
1352.11304,Vancomycin,Resistant,BV-BRC
2714275670,Levofloxacin,Resistant,NCBI
573.32427,Levofloxacin,Susceptible,BV-BRC
1313.30606,Erythromycin,Resistant,BV-BRC
1280.16731,Gentamicin,Resistant,BV-BRC
2871203777,Amoxicillin,Susceptible,NCBI
1313.46356,Vancomycin,Susceptible,BV-BRC
485.9661,Ciprofloxacin,Susceptible,BV-BRC
1313.19384,Erythromycin,Susceptible,BV-BRC
959148571,Azithromycin,Resistant,NCBI
573.18543,Ciprofloxacin,Resistant,BV-BRC
485.7769,Cefixime,Susceptible,BV-BRC
485.18497,Azithromycin,Resistant,BV-BRC
2787065085,Azithromycin,Susceptible,NCBI
1313.17447,Erythromycin,Resistant,BV-BRC
3042176365,Cefixime,Susceptible,NCBI
1773.41720,Ofloxacin,Susceptible,BV-BRC
3275998528,Penicillin,Resistant,NCBI
1713098964,Vancomycin,Resistant,NCBI
1280.55223,Ciprofloxacin,Susceptible,BV-BRC
1717.865,Amoxicillin,Susceptible,BV-BRC
1850757852,Tetracycline,Susceptible,NCBI
573.15630,Meropenem,Susceptible,BV-BRC
1352.1822,Vancomycin,Resistant,BV-BRC
2162737077,Cefixime,Resistant,NCBI
1773.1747,Ofloxacin,Resistant,BV-BRC
485.730,Cefixime,Susceptible,BV-BRC
2865873444,Amoxicillin,Susceptible,NCBI
2162631424,Cefixime,Resistant,NCBI
573.15501,Tetracycline,Resistant,BV-BRC
28901.22204,Ampicillin,Susceptible,BV-BRC
3170508434,Gentamicin,Resistant,NCBI
1313.23508,Penicillin,Susceptible,BV-BRC
573.54752,Meropenem,Susceptible,BV-BRC
573.23152,Levofloxacin,Susceptible,BV-BRC
573.43443,Ciprofloxacin,Susceptible,BV-BRC
573.68037,Levofloxacin,Susceptible,BV-BRC
1890017457,Amoxicillin,Resistant,NCBI
950873647,Clindamycin,Resistant,NCBI
195.410,Tetracycline,Resistant,BV-BRC
3032049624,Amoxicillin,Resistant,NCBI
2531310433,Tetracycline,Resistant,NCBI
573.29470,Tetracycline,Resistant,BV-BRC
2274171530,Meropenem,Resistant,NCBI
1280.37443,Clindamycin,Susceptible,BV-BRC
28901.8586,Gentamicin,Susceptible,BV-BRC
624.3577,Ampicillin,Resistant,BV-BRC
1313.45931,Penicillin,Susceptible,BV-BRC
1284817.3,Meropenem,Resistant,BV-BRC
1280.36821,Penicillin,Resistant,BV-BRC
470.1748,Ciprofloxacin,Resistant,BV-BRC
717144320,Azithromycin,Resistant,NCBI
1485846793,Penicillin,Resistant,NCBI
1280.40930,Clindamycin,Susceptible,BV-BRC
485.4847,Azithromycin,Susceptible,BV-BRC
3211312466,Azithromycin,Susceptible,NCBI
1280.34916,Ciprofloxacin,Susceptible,BV-BRC
1268978.3,Amoxicillin,Resistant,BV-BRC
3198362854,Ampicillin,Resistant,NCBI
3068095929,Cefixime,Susceptible,NCBI
1280.9986,Penicillin,Resistant,BV-BRC
1313.46437,Azithromycin,Susceptible,BV-BRC
1313.17173,Vancomycin,Susceptible,BV-BRC
1313.23016,Tetracycline,Susceptible,BV-BRC
287.9853,Levofloxacin,Susceptible,BV-BRC
1313.44188,Erythromycin,Resistant,BV-BRC
2461953641,Cefixime,Resistant,NCBI
573.66500,Levofloxacin,Resistant,BV-BRC
485.18884,Cefixime,Susceptible,BV-BRC
573.14219,Gentamicin,Resistant,BV-BRC
287.12651,Meropenem,Resistant,BV-BRC
3219525557,Ampicillin,Susceptible,NCBI
624.2292,Azithromycin,Resistant,BV-BRC
485.7679,Cefixime,Susceptible,BV-BRC
2710775186,Tetracycline,Susceptible,NCBI
573.13597,Levofloxacin,Resistant,BV-BRC
1313.21824,Tetracycline,Resistant,BV-BRC
485.13176,Azithromycin,Resistant,BV-BRC
1661602206,Ampicillin,Resistant,NCBI
3207047394,Cefixime,Susceptible,NCBI
485.13131,Azithromycin,Resistant,BV-BRC
3166655261,Ampicillin,Resistant,NCBI
287.7795,Levofloxacin,Resistant,BV-BRC
1712603021,Tetracycline,Resistant,NCBI
2450000737,Ofloxacin,Resistant,NCBI
573.69393,Ciprofloxacin,Susceptible,BV-BRC
1773.41841,Ofloxacin,Resistant,BV-BRC
2532835820,Vancomycin,Susceptible,NCBI
28901.22484,Azithromycin,Susceptible,BV-BRC
573.52759,Meropenem,Resistant,BV-BRC
1313.44846,Erythromycin,Resistant,BV-BRC
1313.27478,Erythromycin,Susceptible,BV-BRC
1945036560,Tetracycline,Susceptible,NCBI
195.2186,Clindamycin,Resistant,BV-BRC
197.16048,Azithromycin,Susceptible,BV-BRC
90371.7246,Gentamicin,Susceptible,BV-BRC
485.8142,Cefixime,Resistant,BV-BRC
28144.36,Ciprofloxacin,Susceptible,BV-BRC
485.7927,Cefixime,Susceptible,BV-BRC
595607150,Azithromycin,Resistant,NCBI
485.13966,Penicillin,Susceptible,BV-BRC
3111138264,Clindamycin,Susceptible,NCBI
1733.4702,Ofloxacin,Susceptible,BV-BRC
2865868093,Amoxicillin,Susceptible,NCBI
1741175607,Clindamycin,Susceptible,NCBI
573.14883,Levofloxacin,Resistant,BV-BRC
573.45838,Levofloxacin,Susceptible,BV-BRC
72407.1410,Tetracycline,Susceptible,BV-BRC
573.52396,Gentamicin,Resistant,BV-BRC
1280.38128,Ciprofloxacin,Resistant,BV-BRC
562.100309,Ciprofloxacin,Susceptible,BV-BRC
485.18629,Cefixime,Susceptible,BV-BRC
485.18664,Azithromycin,Susceptible,BV-BRC
573.29358,Ciprofloxacin,Resistant,BV-BRC
90371.6994,Azithromycin,Susceptible,BV-BRC
1773.27035,Ofloxacin,Resistant,BV-BRC
1733.2930,Ofloxacin,Resistant,BV-BRC
2845947985,Meropenem,Susceptible,NCBI
562.23436,Amoxicillin,Resistant,BV-BRC
3199868600,Meropenem,Susceptible,NCBI
3135385283,Ampicillin,Resistant,NCBI
197.16234,Clindamycin,Susceptible,BV-BRC
546.759,Azithromycin,Resistant,BV-BRC
1773.40303,Ofloxacin,Susceptible,BV-BRC
573.54092,Ciprofloxacin,Resistant,BV-BRC
3061325771,Amoxicillin,Susceptible,NCBI
2487211269,Ciprofloxacin,Resistant,NCBI
562.99683,Ampicillin,Susceptible,BV-BRC
1280.24921,Clindamycin,Susceptible,BV-BRC
573.14880,Gentamicin,Susceptible,BV-BRC
1280.47463,Gentamicin,Susceptible,BV-BRC
1352.11268,Vancomycin,Resistant,BV-BRC
2871114983,Amoxicillin,Susceptible,NCBI
1280.29920,Clindamycin,Resistant,BV-BRC
1893197120,Vancomycin,Susceptible,NCBI
1307844455,Erythromycin,Resistant,NCBI
90370.3487,Ampicillin,Susceptible,BV-BRC
485.5133,Cefixime,Resistant,BV-BRC
573.10075,Levofloxacin,Susceptible,BV-BRC
573.66723,Ciprofloxacin,Susceptible,BV-BRC
573.78467,Gentamicin,Susceptible,BV-BRC
624.2050,Ampicillin,Susceptible,BV-BRC
1280.39656,Clindamycin,Susceptible,BV-BRC
2791378506,Azithromycin,Susceptible,NCBI
2572263718,Tetracycline,Susceptible,NCBI
573.46293,Ciprofloxacin,Resistant,BV-BRC
562.23799,Amoxicillin,Susceptible,BV-BRC
1313.45994,Azithromycin,Susceptible,BV-BRC
573.31749,Ciprofloxacin,Susceptible,BV-BRC
28901.23557,Gentamicin,Susceptible,BV-BRC
573.27962,Meropenem,Susceptible,BV-BRC
573.43804,Ciprofloxacin,Susceptible,BV-BRC
2065336015,Tetracycline,Susceptible,NCBI
1313.14249,Erythromycin,Susceptible,BV-BRC
573.21058,Tetracycline,Resistant,BV-BRC
74703.23,Erythromycin,Susceptible,BV-BRC
485.5230,Cefixime,Susceptible,BV-BRC
573.56905,Meropenem,Resistant,BV-BRC
1352.9946,Vancomycin,Resistant,BV-BRC
485.7717,Ciprofloxacin,Susceptible,BV-BRC
1280.9716,Ciprofloxacin,Susceptible,BV-BRC
3275998681,Erythromycin,Susceptible,NCBI
2046582168,Vancomycin,Susceptible,NCBI
573.46597,Levofloxacin,Susceptible,BV-BRC
1181764.3,Amoxicillin,Resistant,BV-BRC
1313.46030,Vancomycin,Susceptible,BV-BRC
3173346314,Gentamicin,Susceptible,NCBI
573.77818,Gentamicin,Susceptible,BV-BRC
624.2373,Azithromycin,Resistant,BV-BRC
3264659645,Amoxicillin,Susceptible,NCBI
1313.46473,Azithromycin,Resistant,BV-BRC
2546863170,Cefixime,Resistant,NCBI
1280.51847,Erythromycin,Resistant,BV-BRC
1435923134,Ciprofloxacin,Resistant,NCBI
1280.55361,Gentamicin,Resistant,BV-BRC
197.16056,Ciprofloxacin,Resistant,BV-BRC
1280.36232,Penicillin,Resistant,BV-BRC
562.65161,Amoxicillin,Resistant,BV-BRC
573.37636,Levofloxacin,Susceptible,BV-BRC
1116135.3,Amoxicillin,Resistant,BV-BRC
287.4067,Levofloxacin,Resistant,BV-BRC
1280.38519,Clindamycin,Resistant,BV-BRC
573.69432,Levofloxacin,Resistant,BV-BRC
485.4770,Cefixime,Resistant,BV-BRC
1699907021,Erythromycin,Resistant,NCBI
3034318178,Ofloxacin,Susceptible,NCBI
1773.14659,Ofloxacin,Susceptible,BV-BRC
